Date,y,value
,Time,
January,0,6
January,1,5.9
January,2,5.9
January,3,5.8
January,4,5.8
January,5,5.7
January,6,5.6
January,7,5.5
January,8,5.5
January,9,5.5
January,10,5.7
January,11,5.8
January,12,5.8
January,13,5.7
January,14,5.6
January,15,5.2
January,16,4.9
January,17,4.6
January,18,4.4
January,19,4
January,20,3.8
January,21,3.5
January,22,3.3
January,23,3
January,0,2.7
January,1,2.6
January,2,2.5
January,3,2.3
January,4,2.1
January,5,2
January,6,1.9
January,7,1.8
January,8,1.7
January,9,1.8
January,10,2.1
January,11,2.3
January,12,2.5
January,13,2.4
January,14,2.2
January,15,1.7
January,16,1.1
January,17,0.6
January,18,0.2
January,19,-0.2
January,20,-0.6
January,21,-0.9
January,22,-1.2
January,23,-1.6
January,0,-1.8
January,1,-2
January,2,-2.2
January,3,-2.3
January,4,-2.5
January,5,-2.5
January,6,-2.5
January,7,-2.5
January,8,-2.3
January,9,-1.6
January,10,-0.6
January,11,0.1
January,12,0.6
January,13,0.8
January,14,0.8
January,15,0.4
January,16,0
January,17,-0.2
January,18,-0.5
January,19,-0.6
January,20,-0.7
January,21,-0.9
January,22,-0.9
January,23,-0.9
January,0,-1
January,1,-1
January,2,-1
January,3,-1
January,4,-0.8
January,5,-0.7
January,6,-0.5
January,7,-0.4
January,8,-0.2
January,9,0.2
January,10,0.7
January,11,1.2
January,12,1.5
January,13,1.7
January,14,1.8
January,15,1.8
January,16,1.7
January,17,1.8
January,18,1.9
January,19,2
January,20,2.1
January,21,2.3
January,22,2.4
January,23,2.5
January,0,2.7
January,1,2.8
January,2,2.9
January,3,3
January,4,3
January,5,3.1
January,6,3.1
January,7,3.2
January,8,3.4
January,9,3.6
January,10,3.9
January,11,4.2
January,12,4.4
January,13,4.5
January,14,4.6
January,15,4.5
January,16,4.4
January,17,4.3
January,18,4.2
January,19,4.1
January,20,4
January,21,3.8
January,22,3.6
January,23,3.5
January,0,3.3
January,1,3.2
January,2,3
January,3,2.9
January,4,2.8
January,5,2.8
January,6,2.7
January,7,2.7
January,8,2.6
January,9,2.8
January,10,3.1
January,11,3.4
January,12,3.6
January,13,3.7
January,14,3.7
January,15,3.6
January,16,3.3
January,17,3.2
January,18,3.2
January,19,3.1
January,20,3.1
January,21,3.1
January,22,3
January,23,3
January,0,3
January,1,3
January,2,2.9
January,3,2.9
January,4,2.9
January,5,2.8
January,6,2.8
January,7,2.8
January,8,2.8
January,9,3.1
January,10,3.4
January,11,3.7
January,12,3.9
January,13,4
January,14,4
January,15,3.8
January,16,3.7
January,17,3.6
January,18,3.6
January,19,3.6
January,20,3.7
January,21,3.7
January,22,3.7
January,23,3.7
January,0,3.8
January,1,3.8
January,2,3.8
January,3,3.7
January,4,3.8
January,5,3.8
January,6,3.8
January,7,3.9
January,8,3.9
January,9,4.1
January,10,4.2
January,11,4.4
January,12,4.5
January,13,4.4
January,14,4.3
January,15,4.1
January,16,3.8
January,17,3.6
January,18,3.4
January,19,3.1
January,20,2.9
January,21,2.7
January,22,2.5
January,23,2.3
January,0,2.1
January,1,1.9
January,2,1.7
January,3,1.5
January,4,1.4
January,5,1.2
January,6,1
January,7,0.9
January,8,0.8
January,9,0.9
January,10,1
January,11,1.2
January,12,1.2
January,13,1.2
January,14,1.1
January,15,1
January,16,0.7
January,17,0.5
January,18,0.4
January,19,0.4
January,20,0.3
January,21,0.2
January,22,0.1
January,23,0
January,0,0
January,1,-0.1
January,2,-0.2
January,3,-0.3
January,4,-0.3
January,5,-0.4
January,6,-0.5
January,7,-0.6
January,8,-0.6
January,9,-0.4
January,10,-0.1
January,11,0.1
January,12,0.2
January,13,0.2
January,14,0.2
January,15,0
January,16,-0.4
January,17,-0.6
January,18,-0.8
January,19,-1
January,20,-1.1
January,21,-1.3
January,22,-1.4
January,23,-1.5
January,0,-1.5
January,1,-1.5
January,2,-1.5
January,3,-1.5
January,4,-1.4
January,5,-1.3
January,6,-1.2
January,7,-1
January,8,-0.8
January,9,-0.4
January,10,0.1
January,11,0.5
January,12,0.9
January,13,1.1
January,14,1.3
January,15,1.4
January,16,1.5
January,17,1.6
January,18,1.7
January,19,1.9
January,20,2
January,21,2
January,22,2.1
January,23,2.2
January,0,2.3
January,1,2.4
January,2,2.5
January,3,2.6
January,4,2.6
January,5,2.7
January,6,2.7
January,7,2.7
January,8,2.8
January,9,3
January,10,3.2
January,11,3.4
January,12,3.5
January,13,3.6
January,14,3.7
January,15,3.6
January,16,3.6
January,17,3.6
January,18,3.6
January,19,3.6
January,20,3.5
January,21,3.5
January,22,3.6
January,23,3.7
January,0,3.8
January,1,3.8
January,2,3.9
January,3,4
January,4,4.1
January,5,4.2
January,6,4.3
January,7,4.4
January,8,4.5
January,9,4.8
January,10,5
January,11,5.2
January,12,5.4
January,13,5.6
January,14,5.8
January,15,6
January,16,6.1
January,17,6.2
January,18,6.3
January,19,6.2
January,20,6
January,21,5.7
January,22,5.5
January,23,5.2
January,0,4.9
January,1,4.6
January,2,4.2
January,3,3.9
January,4,3.6
January,5,3.3
January,6,3
January,7,2.7
January,8,2.5
January,9,2.5
January,10,2.7
January,11,2.8
January,12,2.8
January,13,2.6
January,14,2.3
January,15,2
January,16,1.6
January,17,1.3
January,18,1.1
January,19,1.1
January,20,1
January,21,1
January,22,1
January,23,1
January,0,1
January,1,1
January,2,1.1
January,3,1.2
January,4,1.2
January,5,1.3
January,6,1.4
January,7,1.5
January,8,1.8
January,9,2.2
January,10,2.7
January,11,3.2
January,12,3.7
January,13,4
January,14,4.1
January,15,4.1
January,16,4.2
January,17,4.2
January,18,4.2
January,19,4.2
January,20,4.2
January,21,4.2
January,22,4.1
January,23,4
January,0,3.9
January,1,3.8
January,2,3.8
January,3,3.7
January,4,3.5
January,5,3.4
January,6,3.3
January,7,3.2
January,8,3.2
January,9,3.4
January,10,3.9
January,11,4.3
January,12,4.6
January,13,4.8
January,14,4.8
January,15,4.5
January,16,3.9
January,17,3.3
January,18,3.1
January,19,2.9
January,20,2.9
January,21,2.8
January,22,2.8
January,23,2.9
January,0,2.9
January,1,3.1
January,2,3.3
January,3,3.5
January,4,3.6
January,5,3.7
January,6,3.7
January,7,3.7
January,8,3.8
January,9,4.2
January,10,4.6
January,11,4.9
January,12,5
January,13,4.9
January,14,4.6
January,15,4
January,16,3.4
January,17,2.8
January,18,2.4
January,19,1.9
January,20,1.5
January,21,1.2
January,22,0.9
January,23,0.6
January,0,0.3
January,1,0
January,2,-0.2
January,3,-0.6
January,4,-0.9
January,5,-1.1
January,6,-1.5
January,7,-1.8
January,8,-1.9
January,9,-1.2
January,10,-0.4
January,11,0.3
January,12,0.8
January,13,1.1
January,14,1.1
January,15,0.6
January,16,-0.6
January,17,-1.5
January,18,-2
January,19,-2.4
January,20,-2.6
January,21,-2.8
January,22,-3
January,23,-3.3
January,0,-3.5
January,1,-3.8
January,2,-4.1
January,3,-4.4
January,4,-4.6
January,5,-4.8
January,6,-5
January,7,-5.2
January,8,-5
January,9,-3.7
January,10,-2.3
January,11,-1.2
January,12,-0.3
January,13,0.2
January,14,0.2
January,15,-0.4
January,16,-1.6
January,17,-2.6
January,18,-3.3
January,19,-3.8
January,20,-4.3
January,21,-4.7
January,22,-5.1
January,23,-5.5
January,0,-5.8
January,1,-6.1
January,2,-6.3
January,3,-6.5
January,4,-6.7
January,5,-6.8
January,6,-7
January,7,-7
January,8,-6.7
January,9,-5.2
January,10,-3.9
January,11,-2.7
January,12,-1.9
January,13,-1.4
January,14,-1.2
January,15,-1.6
January,16,-2.5
January,17,-3.3
January,18,-3.8
January,19,-4.2
January,20,-4.5
January,21,-4.7
January,22,-5
January,23,-5.2
January,0,-5.4
January,1,-5.6
January,2,-5.8
January,3,-6
January,4,-6.2
January,5,-6.3
January,6,-6.4
January,7,-6.5
January,8,-6.3
January,9,-5.2
January,10,-3.9
January,11,-2.8
January,12,-1.9
January,13,-1.3
January,14,-1.1
January,15,-1.3
January,16,-2.2
January,17,-3.1
January,18,-3.7
January,19,-4.1
January,20,-4.5
January,21,-4.7
January,22,-4.9
January,23,-5.1
January,0,-5.3
January,1,-5.6
January,2,-5.6
January,3,-5.8
January,4,-5.9
January,5,-5.9
January,6,-6
January,7,-5.9
January,8,-5.6
January,9,-4.7
January,10,-3.7
January,11,-3
January,12,-2.4
January,13,-2.1
January,14,-2.1
January,15,-2.5
January,16,-3.1
January,17,-3.6
January,18,-3.9
January,19,-4.1
January,20,-4.4
January,21,-4.6
January,22,-4.9
January,23,-5.2
January,0,-5.3
January,1,-5.5
January,2,-5.6
January,3,-5.7
January,4,-5.8
January,5,-5.9
January,6,-6
January,7,-6
January,8,-5.9
January,9,-5.4
January,10,-4.8
January,11,-4.3
January,12,-3.9
January,13,-3.7
January,14,-3.7
January,15,-3.9
January,16,-4.3
January,17,-4.6
January,18,-4.9
January,19,-5
January,20,-5.2
January,21,-5.3
January,22,-5.3
January,23,-5.3
January,0,-5.4
January,1,-5.4
January,2,-5.4
January,3,-5.4
January,4,-5.4
January,5,-5.4
January,6,-5.4
January,7,-5.4
January,8,-5.3
January,9,-5
January,10,-4.6
January,11,-4.2
January,12,-3.9
January,13,-3.8
January,14,-3.8
January,15,-3.9
January,16,-4.1
January,17,-4.3
January,18,-4.4
January,19,-4.5
January,20,-4.6
January,21,-4.6
January,22,-4.7
January,23,-4.8
January,0,-4.8
January,1,-4.9
January,2,-5
January,3,-5
January,4,-5.1
January,5,-5.1
January,6,-5.1
January,7,-5.1
January,8,-5
January,9,-4.6
January,10,-4.2
January,11,-3.7
January,12,-3.3
January,13,-3
January,14,-2.8
January,15,-2.8
January,16,-2.9
January,17,-3.1
January,18,-3.1
January,19,-3
January,20,-2.8
January,21,-2.6
January,22,-2.2
January,23,-1.9
January,0,-1.6
January,1,-1.3
January,2,-1
January,3,-0.7
January,4,-0.3
January,5,0
January,6,0.3
January,7,0.6
January,8,1
January,9,1.4
January,10,1.8
January,11,2.3
January,12,2.7
January,13,3.1
January,14,3.3
January,15,3.3
January,16,3.2
January,17,3.1
January,18,3.1
January,19,3.1
January,20,3.1
January,21,3
January,22,3
January,23,3.1
January,0,3.1
January,1,3.1
January,2,3.1
January,3,3.1
January,4,3.1
January,5,3.1
