Date (UTC),Load
,Power (MW)
2016-12-31T23:00+00:00,47372.6
2016-12-31T23:15+00:00,47195.5
2016-12-31T23:30+00:00,47155.9
2016-12-31T23:45+00:00,46804.8
2017-01-01T00:00+00:00,46550.8
2017-01-01T00:15+00:00,45964.6
2017-01-01T00:30+00:00,45530.1
2017-01-01T00:45+00:00,45210.9
2017-01-01T01:00+00:00,44950.4
2017-01-01T01:15+00:00,44693.3
2017-01-01T01:30+00:00,44293.7
2017-01-01T01:45+00:00,43847.9
2017-01-01T02:00+00:00,43519.8
2017-01-01T02:15+00:00,43263.1
2017-01-01T02:30+00:00,43182.3
2017-01-01T02:45+00:00,42941.7
2017-01-01T03:00+00:00,42906.4
2017-01-01T03:15+00:00,42530.3
2017-01-01T03:30+00:00,42321.9
2017-01-01T03:45+00:00,41957.2
2017-01-01T04:00+00:00,41754.8
2017-01-01T04:15+00:00,41381.5
2017-01-01T04:30+00:00,40946.4
2017-01-01T04:45+00:00,40595
2017-01-01T05:00+00:00,39643.2
2017-01-01T05:15+00:00,39646.2
2017-01-01T05:30+00:00,39652.2
2017-01-01T05:45+00:00,39639.2
2017-01-01T06:00+00:00,40061
2017-01-01T06:15+00:00,40146.6
2017-01-01T06:30+00:00,40294.8
2017-01-01T06:45+00:00,40412.6
2017-01-01T07:00+00:00,40590.2
2017-01-01T07:15+00:00,40693.8
2017-01-01T07:30+00:00,41029.9
2017-01-01T07:45+00:00,41637
2017-01-01T08:00+00:00,42473.9
2017-01-01T08:15+00:00,43074
2017-01-01T08:30+00:00,43832.6
2017-01-01T08:45+00:00,44426.7
2017-01-01T09:00+00:00,44981.4
2017-01-01T09:15+00:00,45726.7
2017-01-01T09:30+00:00,46311.1
2017-01-01T09:45+00:00,47034.1
2017-01-01T10:00+00:00,47559.8
2017-01-01T10:15+00:00,48630.2
2017-01-01T10:30+00:00,48999.4
2017-01-01T10:45+00:00,49182.3
2017-01-01T11:00+00:00,49603.9
2017-01-01T11:15+00:00,49554.7
2017-01-01T11:30+00:00,49499.8
2017-01-01T11:45+00:00,49163.8
2017-01-01T12:00+00:00,48751.9
2017-01-01T12:15+00:00,48357
2017-01-01T12:30+00:00,48241.7
2017-01-01T12:45+00:00,48035.3
2017-01-01T13:00+00:00,48022
2017-01-01T13:15+00:00,47886.9
2017-01-01T13:30+00:00,47641.5
2017-01-01T13:45+00:00,47419.3
2017-01-01T14:00+00:00,47938.2
2017-01-01T14:15+00:00,47954.3
2017-01-01T14:30+00:00,48155.8
2017-01-01T14:45+00:00,48306.4
2017-01-01T15:00+00:00,49045.2
2017-01-01T15:15+00:00,49679.6
2017-01-01T15:30+00:00,50786.8
2017-01-01T15:45+00:00,52313.1
2017-01-01T16:00+00:00,53903.9
2017-01-01T16:15+00:00,54688.8
2017-01-01T16:30+00:00,54993.2
2017-01-01T16:45+00:00,55197.4
2017-01-01T17:00+00:00,55561.1
2017-01-01T17:15+00:00,55599
2017-01-01T17:30+00:00,55564.9
2017-01-01T17:45+00:00,55387.9
2017-01-01T18:00+00:00,55348.2
2017-01-01T18:15+00:00,55024.8
2017-01-01T18:30+00:00,54678.3
2017-01-01T18:45+00:00,54166
2017-01-01T19:00+00:00,53705.2
2017-01-01T19:15+00:00,52950.6
2017-01-01T19:30+00:00,52228.3
2017-01-01T19:45+00:00,51665.5
2017-01-01T20:00+00:00,51459.1
2017-01-01T20:15+00:00,51171.6
2017-01-01T20:30+00:00,50874.8
2017-01-01T20:45+00:00,50914.8
2017-01-01T21:00+00:00,51633.7
2017-01-01T21:15+00:00,51248.4
2017-01-01T21:30+00:00,50566.3
2017-01-01T21:45+00:00,50033.8
2017-01-01T22:00+00:00,49205.6
2017-01-01T22:15+00:00,48770.1
2017-01-01T22:30+00:00,47869.2
2017-01-01T22:45+00:00,47178.3
2017-01-01T23:00+00:00,46554.5
2017-01-01T23:15+00:00,45848.1
2017-01-01T23:30+00:00,45360.8
2017-01-01T23:45+00:00,44388.2
2017-01-02T00:00+00:00,44347.2
2017-01-02T00:15+00:00,43987.6
2017-01-02T00:30+00:00,43426.9
2017-01-02T00:45+00:00,42980.9
2017-01-02T01:00+00:00,42996.2
2017-01-02T01:15+00:00,42753.7
2017-01-02T01:30+00:00,42653.7
2017-01-02T01:45+00:00,42520.8
2017-01-02T02:00+00:00,42589.9
2017-01-02T02:15+00:00,42504.4
2017-01-02T02:30+00:00,43328.5
2017-01-02T02:45+00:00,43491.7
2017-01-02T03:00+00:00,43621.1
2017-01-02T03:15+00:00,44398.5
2017-01-02T03:30+00:00,44852.8
2017-01-02T03:45+00:00,45043.8
2017-01-02T04:00+00:00,45750.1
2017-01-02T04:15+00:00,46577.7
2017-01-02T04:30+00:00,47638.7
2017-01-02T04:45+00:00,48852
2017-01-02T05:00+00:00,50565
2017-01-02T05:15+00:00,52410.8
2017-01-02T05:30+00:00,54181.4
2017-01-02T05:45+00:00,55708.9
2017-01-02T06:00+00:00,57533.7
2017-01-02T06:15+00:00,59269.9
2017-01-02T06:30+00:00,60535.5
2017-01-02T06:45+00:00,62047.7
2017-01-02T07:00+00:00,62991.7
2017-01-02T07:15+00:00,63540.8
2017-01-02T07:30+00:00,64147.5
2017-01-02T07:45+00:00,64697.6
2017-01-02T08:00+00:00,65102
2017-01-02T08:15+00:00,65727.9
2017-01-02T08:30+00:00,66552.1
2017-01-02T08:45+00:00,66730.2
2017-01-02T09:00+00:00,67167.8
2017-01-02T09:15+00:00,67403.5
2017-01-02T09:30+00:00,67825.1
2017-01-02T09:45+00:00,68197.6
2017-01-02T10:00+00:00,68429.3
2017-01-02T10:15+00:00,68764.4
2017-01-02T10:30+00:00,68877.2
2017-01-02T10:45+00:00,69036.5
2017-01-02T11:00+00:00,69000.7
2017-01-02T11:15+00:00,68918.9
2017-01-02T11:30+00:00,68812.5
2017-01-02T11:45+00:00,68564.6
2017-01-02T12:00+00:00,68737.9
2017-01-02T12:15+00:00,68160.4
